ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
MISEQ01:3:000000000-ALULJ:1:2105:11385:17462_CONS_SUB_SUB,True,2,2,1,1,12,0.996,0.002,1,0,False,15,False
M01896:197:000000000-ANEHB:1:1106:25470:8391_CONS_SUB_SUB,False,3,3,2,1,12,0.181,0.029,16,5,True,50,False
M01896:197:000000000-ANEHB:1:1102:18472:20678_CONS_SUB_SUB,True,2,2,0,2,12,0.993,0.004,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2110:24613:24011_CONS_SUB_SUB_CMP,False,6,6,3,3,10,0.161,0.001,19,6,True,49,False
M00595:3:000000000-ALULJ:1:1101:15657:7334_CONS_SUB_SUB_CMP,False,1,1,0,1,11,0.043,0.043,2,0,False,42,False
M01896:197:000000000-ANEHB:1:2104:8896:12302_CONS_SUB_SUB,True,2,2,0,2,13,0.998,0.002,3,0,False,47,False
M01896:197:000000000-ANEHB:1:1109:11922:4847_CONS_SUB_SUB,False,2,2,1,1,12,0.689,0.161,2,0,False,22,False
M01896:197:000000000-ANEHB:1:2102:3315:14298_CONS_SUB_SUB,False,2,2,1,1,9,0.189,0.189,3,1,True,8,False
M01896:197:000000000-ANEHB:1:1108:15598:7697_CONS_SUB_SUB,False,2,2,0,2,12,0.259,0.222,16,4,True,44,False
M01896:197:000000000-ANEHB:1:1110:12659:14149_CONS_SUB_SUB_CMP,True,1,1,0,1,12,1.0,1.0,1,0,False,11,False
M00595:3:000000000-ALULJ:1:2111:20339:12894_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
M01896:197:000000000-ANEHB:1:1102:10943:26203_CONS_SUB_SUB,True,2,2,0,2,13,0.981,0.005,1,0,False,50,False
M00595:3:000000000-ALULJ:1:2102:12119:7780_CONS_SUB_SUB_CMP,False,2,2,1,1,11,0.491,0.465,2,1,True,9,False
MISEQ01:3:000000000-ALULJ:1:1110:7408:5658_CONS_SUB_SUB,True,2,2,1,1,13,0.993,0.004,2,0,False,11,False
MISEQ01:3:000000000-ALULJ:1:1114:25651:20286_CONS_SUB_SUB_CMP,False,2,2,1,1,13,0.504,0.371,2,0,False,12,False
M01896:197:000000000-ANEHB:1:1105:14017:28479_CONS_SUB_SUB_CMP,False,2,2,0,2,11,0.779,0.017,1,0,False,46,False
M01896:197:000000000-ANEHB:1:2102:17763:6878_CONS_SUB_SUB_CMP,False,4,4,3,1,11,0.741,0.01,4,0,False,38,False
M00595:3:000000000-ALULJ:1:1110:25642:16455_CONS_SUB_SUB_CMP,True,1,1,0,1,11,0.995,0.995,1,0,False,14,False
M00595:3:000000000-ALULJ:1:1108:21005:9057_CONS_SUB_SUB,True,1,1,0,1,10,1.0,1.0,1,0,False,50,False
